TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Sacramento Kings,22,11.6,10.2,0.91,10.5,3.7,9.9,37.6,49.3,3.1,11.4,3.1,0,35.3,41.4
Denver Nuggets,26,6.9,6.2,1.08,7.5,3,6.2,49.1,56.8,3.4,7.3,1.7,0.6,46.9,93.1
Memphis Grizzlies,24,6.8,6.1,0.83,5.6,2,5.6,36.6,43.7,6.1,12.9,6.1,1.2,35,6.9
Washington Wizards,24,6.8,6,0.89,6.1,2.4,5.8,41.4,46.1,7.9,9.1,6.7,2.4,40.9,27.6
Philadelphia 76ers,24,6.8,5.9,1.02,6.9,2.5,5.4,45.7,53.9,9.3,11.7,8.6,0.6,45.1,79.3
Cleveland Cavaliers,25,6.5,5.9,0.93,6,2.1,5.1,41.7,49.6,8.6,13.6,8,0.6,40.7,58.6
San Antonio Spurs,24,6.8,5.9,0.83,5.6,2.1,5.6,37.8,43.3,6.8,9.9,6.2,0,38.3,10.3
Golden State Warriors,24,5.9,5.1,1.11,6.5,2.1,4.6,45,55,13.5,11.3,12.1,3.5,44.7,100
Detroit Pistons,25,5.6,5,0.96,5.4,2,4.5,43.4,47.8,12.1,9.2,11.3,1.4,45.4,69
Brooklyn Nets,24,5.5,4.9,0.91,5,1.8,4.3,40.8,46.6,10.7,11.5,9.9,0.8,42,44.8
Utah Jazz,25,5.5,4.8,0.91,5,1.8,4.5,39.3,46.9,9.4,10.1,9.4,0.7,40.6,37.9
New Orleans Pelicans,25,5.4,4.8,0.93,5,1.8,4.4,41.8,46.4,9.7,9,8.2,0.7,42.5,55.2
Atlanta Hawks,24,5.7,4.8,0.79,4.5,1.5,4.4,35.2,40.5,9.6,14.7,6.6,1.5,35.3,3.4
Orlando Magic,24,5.3,4.7,0.91,4.8,1.5,4,38.9,48.4,11.8,13.4,10.2,0,40.2,48.3
New York Knicks,23,5.3,4.7,0.88,4.6,1.7,4.4,39.2,44.1,9.1,7.4,8.3,0.8,40.5,17.2
Phoenix Suns,24,4.9,4.4,0.96,4.7,1.8,3.8,47.8,55.4,6.8,15.4,5.1,0.9,42.7,65.5
Toronto Raptors,25,4.8,4.3,0.92,4.4,1.8,4.3,42.1,48.1,5,8.3,5,2.5,40,51.7
Miami Heat,25,4.6,4.2,1.07,4.9,1.8,3.9,44.9,57.1,5.3,9.6,5.3,0.9,43,82.8
Dallas Mavericks,24,4.8,4.2,1,4.8,1.5,3.8,39.1,50,11.4,9.6,9.6,1.8,41.2,75.9
Los Angeles Lakers,25,4.5,4.1,1.07,4.8,1.9,3.9,49,55.6,8,8,8,2.7,47.8,86.2
Indiana Pacers,22,4.8,4.1,0.89,4.3,1.7,4,42.7,47.2,7.5,10.4,7.5,1.9,41.5,24.1
Portland Trail Blazers,23,4.7,4.1,0.85,4,1.4,3.6,40.2,47,8.4,16.8,7.5,1.9,37.4,13.8
Milwaukee Bucks,23,4.6,4,1.09,5,1.9,3.7,50.6,60.6,7.6,13.3,6.7,1.9,45.7,96.6
Houston Rockets,22,4.3,3.9,0.98,4.2,1.5,3.6,43,53.8,6.3,11.6,6.3,1.1,41.1,72.4
Charlotte Hornets,23,4.1,3.7,0.9,3.7,1.4,3.5,40,46.3,9.6,8.5,9.6,3.2,39.4,34.5
Oklahoma City Thunder,23,3.8,3.4,0.89,3.3,1.2,3,39.1,46.4,10.3,11.5,9.2,1.1,40.2,20.7
Minnesota Timberwolves,23,3.6,3.3,0.93,3.3,1.4,3.2,43.8,50,2.4,9.6,1.2,0,41,62.1
Chicago Bulls,26,2.9,2.6,0.9,2.6,1,2.5,37.9,45.5,9.2,7.9,7.9,3.9,36.8,31
LA Clippers,24,2.7,2.5,1.08,2.9,1.1,2.4,46.6,55.2,6.2,6.2,6.2,1.5,46.2,89.7
Boston Celtics,23,2.3,2.1,0.72,1.7,0.6,2,31.1,37.8,5.7,11.3,5.7,1.9,30.2,0
