Season,SHOT DISTANCE,FGM,FGA,FG%,3:00 PM,3PA,3P%,EFG%,BLKA,"FGM
%AST","FGM
%UAST"
2023-24,Less Than 5 ft.,72,123,58.5,0,0,0,58.5,16,36.1,63.9
2023-24,5-9 ft.,30,67,44.8,0,0,0,44.8,4,26.7,73.3
2023-24,10-14 ft.,15,36,41.7,0,0,0,41.7,3,40,60
2023-24,15-19 ft.,4,15,26.7,0,0,0,26.7,2,25,75
2023-24,20-24 ft.,19,30,63.3,13,21,61.9,85,1,57.9,42.1
2023-24,25-29 ft.,53,146,36.3,53,146,36.3,54.5,3,64.2,35.8
2022-23,Less Than 5 ft.,157,275,57.1,0,0,0,57.1,24,52.2,47.8
2022-23,5-9 ft.,54,118,45.8,0,0,0,45.8,10,38.9,61.1
2022-23,10-14 ft.,40,84,47.6,0,0,0,47.6,3,27.5,72.5
2022-23,15-19 ft.,26,60,43.3,0,0,0,43.3,0,38.5,61.5
2022-23,20-24 ft.,47,103,45.6,45,96,46.9,67.5,1,87.2,12.8
2022-23,25-29 ft.,110,258,42.6,110,258,42.6,64,0,63.6,36.4
2021-22,Less Than 5 ft.,211,355,59.4,0,0,0,59.4,43,46.9,53.1
2021-22,5-9 ft.,66,137,48.2,0,0,0,48.2,7,43.9,56.1
2021-22,10-14 ft.,36,102,35.3,0,0,0,35.3,2,41.7,58.3
2021-22,15-19 ft.,32,80,40,0,0,0,40,0,43.8,56.3
2021-22,20-24 ft.,54,96,56.3,48,84,57.1,81.3,1,79.6,20.4
2021-22,25-29 ft.,82,213,38.5,82,213,38.5,57.7,1,62.2,37
2020-21,Less Than 5 ft.,91,158,57.6,0,0,0,57.6,16,36.3,63.7
2020-21,5-9 ft.,23,58,39.7,0,0,0,39.7,7,34.8,65.2
2020-21,10-14 ft.,28,46,60.9,0,0,0,60.9,2,42.9,57.1
2020-21,15-19 ft.,18,46,39.1,0,0,0,39.1,0,44.4,55.6
2020-21,20-24 ft.,11,37,29.7,4,19,21.1,35.1,0,63.6,36.4
2020-21,25-29 ft.,26,78,33.3,26,78,33.3,50,0,76.9,23.1
