0,1,2,3,4,5,6,7,8
Player,Min,+/-,Off,Def,Net48,W,L,Win%
Maxey,79%,+119,1.24,1.17,+8.4,12,5,70.6
Embiid,63%,+98,1.23,1.15,+8.6,11,5,68.8
Batum,29%,+71,1.35,1.22,+13.6,7,3,70.0
Harris,72%,+69,1.22,1.18,+5.3,10,7,58.8
Reed,29%,+66,1.23,1.12,+12.5,9,7,56.3
Beverley,35%,+63,1.18,1.06,+10.0,12,6,66.7
Melton,62%,+55,1.24,1.20,+5.0,9,7,56.3
OubreJr.,26%,+40,1.21,1.13,+8.4,6,2,75.0
Covington,29%,+29,1.19,1.11,+5.6,8,6,57.1
Tucker,7%,+28,1.19,0.98,+20.4,2,0,100
Korkmaz,9%,+27,1.07,0.92,+15.4,7,6,53.8
HouseJr.,14%,+27,1.14,1.05,+10.4,6,4,60.0
Bamba,4%,+16,1.24,1.00,+22.3,4,3,57.1
Martin,4%,+11,1.13,0.99,+14.0,3,4,42.9
Springer,14%,+4,1.15,1.11,+1.6,4,6,40.0
Petrusev,0%,+3,1.33,0.83,+60.4,1,0,100
Green,2%,0,1.21,1.24,+0.0,1,1,50.0
MorrisSr.,13%,-31,1.13,1.26,-12.9,4,7,36.4
